iter,f,gnorm,ap_norm,df_abs
79,450.5752438,529.2087629,0.000205409,0.007395331
80,450.5458472,216.6422808,0.000126173,0.029396628
81,450.5394422,538.7124764,0.000206606,0.006404975
82,450.5091661,217.975533,0.000128439,0.030276081
83,450.5038039,548.5978721,0.000207878,0.005362238
84,450.472596,219.3927793,0.000130796,0.031207904
85,450.4683337,558.8942274,0.000209229,0.004262275
86,450.4361368,220.9009937,0.000133251,0.032196902
87,450.4330372,569.6339244,0.000210668,0.003099639
88,450.3997887,222.5079425,0.000135811,0.033248473
89,450.3979205,580.8528559,0.0002122,0.001868187
90,450.3635518,224.2222946,0.000138486,0.034368704
91,450.3629908,592.5908953,0.000213835,0.000560973
92,450.3274263,226.0537506,0.000141285,0.03556448
93,450.3154039,277.025364,0.000107791,0.012022474
94,450.3064532,364.8767275,0.000132096,0.008950687
95,450.3040029,511.1079424,0.000173987,0.00245027
96,450.2763423,212.134538,0.000121858,0.02766059
97,450.2687225,518.2367654,0.000202307,0.007619811
98,450.2404279,213.0558202,0.000123557,0.028294566
99,450.2335766,525.5699263,0.000203186,0.006851321
100,450.2046203,214.0225297,0.000125306,0.028956288
101,450.1985671,533.1205336,0.000204108,0.006053244
102,450.1689193,215.0376559,0.000127106,0.029647755
103,450.163696,540.9028793,0.000205076,0.005223359
104,450.1333248,216.1044728,0.000128961,0.03037117
105,450.1289656,548.9325648,0.000206093,0.004359217
106,450.0978366,217.2265715,0.000130876,0.031128965
107,450.0943785,557.2266443,0.000207163,0.003458109
108,450.0624547,218.4078975,0.000132853,0.031923829
109,450.0599377,565.8037857,0.00020829,0.002517032
110,450.0271789,219.6527929,0.000134898,0.032758741
111,450.0256463,574.6844549,0.000209477,0.001532651
112,449.9920093,220.9660451,0.000137015,0.033637011
113,449.991508,583.8911245,0.00021073,0.000501254
114,449.9569457,222.3529417,0.00013921,0.034562319
115,449.9452593,272.1234251,0.000106026,0.011686396
116,449.936511,357.865479,0.000129759,0.008748319
117,449.9339703,500.4480267,0.000170644,0.002540619
118,449.9073719,208.2232841,0.000119316,0.026598398
119,449.8995277,505.2364111,0.000198577,0.00784424
120,449.8725161,208.7653808,0.000120458,0.027011621
121,449.8651964,510.0804601,0.000199094,0.007319712
122,449.8377625,209.3224404,0.000121613,0.027433901
123,449.8309764,514.9825944,0.000199625,0.00678604
